outcome,term,raw_smd,adjusted_smd
r0,jnet_group_jnet_i,-0.0690051273347456,6.500016393583028e-06
r0,jnet_group_jnet_iia,0.043520614613368105,-2.265005878824874e-06
r0,jnet_group_jnet_iib,-0.014347807645402793,-2.9989397707578996e-07
r0,lesion_morphology_lst_granular_macronodule,-0.049752678698965366,-2.353751674699614e-05
r0,lesion_morphology_lst_granular_no_macronodule,0.053955703437403586,1.121254383022887e-05
r0,lesion_morphology_lst_nongranular,0.0483660892857515,1.0608130068632108e-05
r0,lesion_morphology_protruding_or_other,-0.1399201369639067,1.3575208037701623e-05
r0,location_group_flexures,0.08320834273375294,2.6154185500464958e-05
r0,location_group_ileocecal_valve,0.187879751882859,-7.246361315109093e-06
r0,location_group_rectum,-0.3230794626331798,-1.089423158155935e-05
r0,location_group_right_colon_cecum,0.14622840016645072,7.737466827337606e-08
r0,location_group_sigmoid_left_colon,-0.03656570813814751,2.5780031285529427e-06
r0,location_group_transverse_colon,-0.09382209599882523,-2.134436381478888e-05
r0,major_diameter_mm,0.3031655497058496,7.985009449755464e-06
r0,mici_history,0.09224998776307455,-0.00018011448430360491
r0,operator_id_public_operator_01,0.47197124793306333,1.2662404436556106e-05
r0,operator_id_public_operator_02,0.1386658785530015,5.7920147627431e-07
r0,operator_id_public_operator_03,0.019147854041486473,-9.272720316091037e-06
r0,operator_id_public_operator_04,-0.6840987727465893,0.00014971095561277497
r0,operator_id_public_operator_other,-0.35065724432926576,-0.00012205393435502246
r0,recurrence_history,-0.046336748638752305,-7.035197552504743e-06
r0,study_year_index,0.8411978607046874,1.5144906809333321e-05
perforation,jnet_group_jnet_i,-0.07855862778895165,0.00013073224212866973
perforation,jnet_group_jnet_iia,0.051858156199286035,-2.5526820000802447e-05
perforation,jnet_group_jnet_iib,-0.016358552332758437,-3.098331816940833e-05
perforation,lesion_morphology_lst_granular_macronodule,-0.05132528148958896,-0.00010609706218715531
perforation,lesion_morphology_lst_granular_no_macronodule,0.05528202853889764,3.3898931691776226e-05
perforation,lesion_morphology_lst_nongranular,0.05259013531757866,3.6198949939926526e-05
perforation,lesion_morphology_protruding_or_other,-0.13334679097514432,0.00013437747385147347
perforation,location_group_flexures,0.084252453941691,-0.00012755863250531524
perforation,location_group_ileocecal_valve,0.19278844795064778,4.3529260874148255e-05
perforation,location_group_rectum,-0.33144414383427717,1.2560859905520996e-05
perforation,location_group_right_colon_cecum,0.14766363253598122,2.6518208716464226e-05
perforation,location_group_sigmoid_left_colon,-0.035751813179680264,4.2622876463143435e-05
perforation,location_group_transverse_colon,-0.08934012799163679,2.232577473253278e-05
perforation,major_diameter_mm,0.3038078129153122,4.093834968059565e-05
perforation,mici_history,0.10865108081740756,-0.00045150518159572104
perforation,operator_id_public_operator_01,0.47344733311919496,2.381012682061531e-05
perforation,operator_id_public_operator_02,0.1402046860209638,5.119463966147816e-06
perforation,operator_id_public_operator_03,0.00824532195096124,-2.0070879479841756e-05
perforation,operator_id_public_operator_04,-0.6821932180546182,0.00027788686272859486
perforation,operator_id_public_operator_other,-0.3476486407599329,-0.00023195178002442254
perforation,recurrence_history,-0.06507391529642921,-2.1998293893337677e-05
perforation,study_year_index,0.8264684545752792,3.081598034927425e-05
delayed_bleeding,jnet_group_jnet_i,-0.07855862778895165,0.00013073224212866973
delayed_bleeding,jnet_group_jnet_iia,0.051858156199286035,-2.5526820000802447e-05
delayed_bleeding,jnet_group_jnet_iib,-0.016358552332758437,-3.098331816940833e-05
delayed_bleeding,lesion_morphology_lst_granular_macronodule,-0.05132528148958896,-0.00010609706218715531
delayed_bleeding,lesion_morphology_lst_granular_no_macronodule,0.05528202853889764,3.3898931691776226e-05
delayed_bleeding,lesion_morphology_lst_nongranular,0.05259013531757866,3.6198949939926526e-05
delayed_bleeding,lesion_morphology_protruding_or_other,-0.13334679097514432,0.00013437747385147347
delayed_bleeding,location_group_flexures,0.084252453941691,-0.00012755863250531524
delayed_bleeding,location_group_ileocecal_valve,0.19278844795064778,4.3529260874148255e-05
delayed_bleeding,location_group_rectum,-0.33144414383427717,1.2560859905520996e-05
delayed_bleeding,location_group_right_colon_cecum,0.14766363253598122,2.6518208716464226e-05
delayed_bleeding,location_group_sigmoid_left_colon,-0.035751813179680264,4.2622876463143435e-05
delayed_bleeding,location_group_transverse_colon,-0.08934012799163679,2.232577473253278e-05
delayed_bleeding,major_diameter_mm,0.3038078129153122,4.093834968059565e-05
delayed_bleeding,mici_history,0.10865108081740756,-0.00045150518159572104
delayed_bleeding,operator_id_public_operator_01,0.47344733311919496,2.381012682061531e-05
delayed_bleeding,operator_id_public_operator_02,0.1402046860209638,5.119463966147816e-06
delayed_bleeding,operator_id_public_operator_03,0.00824532195096124,-2.0070879479841756e-05
delayed_bleeding,operator_id_public_operator_04,-0.6821932180546182,0.00027788686272859486
delayed_bleeding,operator_id_public_operator_other,-0.3476486407599329,-0.00023195178002442254
delayed_bleeding,recurrence_history,-0.06507391529642921,-2.1998293893337677e-05
delayed_bleeding,study_year_index,0.8264684545752792,3.081598034927425e-05
