dataset_sha256,table_or_source,output_file,population,method,outcome,n,estimate,ci_lower,ci_upper,p_value,scale,script_entrypoint
2da50256c21f9198c963fa3042a8818faf762c574054b87358f1487e65f3089c,table_2_main_results,results/tables/table_2_main_results.csv,overall,PS-NN,speed_mm2_min,782,2.9986546485814127,0.3435461161323312,5.653763181030494,0.026858722548332183,mean_difference,python -m atract_analysis analysis
2da50256c21f9198c963fa3042a8818faf762c574054b87358f1487e65f3089c,table_2_main_results,results/tables/table_2_main_results.csv,small_lesion_<50mm,PS-NN,speed_mm2_min,372,0.011226340507341281,-2.9221031616787725,2.944555842693455,0.9940149274323213,mean_difference,python -m atract_analysis analysis
2da50256c21f9198c963fa3042a8818faf762c574054b87358f1487e65f3089c,table_2_main_results,results/tables/table_2_main_results.csv,large_lesion_>=50mm,PS-NN,speed_mm2_min,410,5.857441818824152,1.4475482982762262,10.267335339372078,0.009231217936852554,mean_difference,python -m atract_analysis analysis
2da50256c21f9198c963fa3042a8818faf762c574054b87358f1487e65f3089c,table_2_main_results,results/tables/table_2_main_results.csv,interaction_large_lesion,PS-NN,speed_mm2_min,782,5.846215478316811,0.5285756739122203,11.163855282721402,0.031178643481826238,interaction_difference,python -m atract_analysis analysis
2da50256c21f9198c963fa3042a8818faf762c574054b87358f1487e65f3089c,table_s2_speed_robustness,results/tables/table_s2_speed_robustness.csv,overall,PS-NN,speed_mm2_min,782,2.9986546485814127,0.3435461161323312,5.653763181030494,0.026858722548332183,mean_difference,python -m atract_analysis analysis
2da50256c21f9198c963fa3042a8818faf762c574054b87358f1487e65f3089c,table_s2_speed_robustness,results/tables/table_s2_speed_robustness.csv,overall,OW + DR,speed_mm2_min,1916,0.6258481808444231,-1.6951581628897676,2.9468545245786135,0.5971491835547651,mean_difference,python -m atract_analysis analysis
2da50256c21f9198c963fa3042a8818faf762c574054b87358f1487e65f3089c,table_s2_speed_robustness,results/tables/table_s2_speed_robustness.csv,small_lesion_<50mm_interaction_model,OW + DR,speed_mm2_min,1004,-1.6428866178585102,-4.013498235152165,0.7277249994351445,0.1743610162527347,mean_difference,python -m atract_analysis analysis
2da50256c21f9198c963fa3042a8818faf762c574054b87358f1487e65f3089c,table_s2_speed_robustness,results/tables/table_s2_speed_robustness.csv,large_lesion_>=50mm_interaction_model,OW + DR,speed_mm2_min,912,2.7882136310682446,-1.0914962576660816,6.667923519802571,0.15895810263962185,mean_difference,python -m atract_analysis analysis
2da50256c21f9198c963fa3042a8818faf762c574054b87358f1487e65f3089c,table_s2_speed_robustness,results/tables/table_s2_speed_robustness.csv,interaction_large_lesion,OW + DR,speed_mm2_min,1916,4.431100248926755,-0.1155411775319628,8.977741675385472,0.056108541890022456,interaction_difference,python -m atract_analysis analysis
2da50256c21f9198c963fa3042a8818faf762c574054b87358f1487e65f3089c,table_s2_speed_robustness,results/tables/table_s2_speed_robustness.csv,large_lesion_>=50mm_restricted,OW + DR,speed_mm2_min,912,3.1376247886637323,-0.6153704732892162,6.890620050616681,0.10129178643290215,mean_difference,python -m atract_analysis analysis
2da50256c21f9198c963fa3042a8818faf762c574054b87358f1487e65f3089c,primary_binary_results,results/model_summaries/primary_binary_results.csv,overall,OW + DR,r0,1906,1.0231683196098773,0.97526613457851,1.0734233181445774,0.3491476651486607,risk_ratio,python -m atract_analysis analysis
2da50256c21f9198c963fa3042a8818faf762c574054b87358f1487e65f3089c,primary_binary_results,results/model_summaries/primary_binary_results.csv,overall,OW + DR,perforation,1935,0.9348552157432882,0.5192445469224427,1.683126533696595,0.822337931190595,risk_ratio,python -m atract_analysis analysis
2da50256c21f9198c963fa3042a8818faf762c574054b87358f1487e65f3089c,primary_binary_results,results/model_summaries/primary_binary_results.csv,overall,OW + DR,delayed_bleeding,1935,0.8759127843856417,0.597286766722805,1.284513986572665,0.4976182673351026,risk_ratio,python -m atract_analysis analysis
