caliper_multiplier,max_year_gap,n,n_treated,n_control,n_match_groups,max_abs_smd,top_operator_treated_share,valid
0.1,,700,350,350,350,0.14739745880782826,0.38571428571428573,False
0.15,,734,367,367,367,0.12832624885056723,0.3787465940054496,False
0.2,,754,377,377,377,0.13053861441887685,0.3713527851458886,False
0.25,,786,393,393,393,0.12037222475572205,0.37659033078880405,False
0.3,,808,404,404,404,0.11658042702432114,0.3787128712871287,False
0.35,,834,417,417,417,0.13343133543261357,0.38369304556354916,False
0.4,,858,429,429,429,0.16468633322181,0.38461538461538464,False
0.5,,878,439,439,439,0.2070801125495437,0.39863325740318906,False
0.6,,902,451,451,451,0.2540932497916487,0.4146341463414634,False
