sensitivity,max_year_gap,selected_caliper,n_pairs,n,max_abs_smd,treated_large_matched_n,treated_large_unmatched_n,treated_unmatched_n,analysis,estimate,ci_lower,ci_upper,p_value,scale
rematched_year_gap_le_1,1,0.2,390,780,0.0929339445366551,206,75,92,overall,2.8508237502426352,0.3147308440219918,5.386916656463279,0.027580877949125424,mean_difference
rematched_year_gap_le_1,1,0.2,390,780,0.0929339445366551,206,75,92,small_lesion_<50mm,-0.004466491663496608,-2.868144719124473,2.85921173579748,0.9975608541691241,mean_difference
rematched_year_gap_le_1,1,0.2,390,780,0.0929339445366551,206,75,92,large_lesion_>=50mm,5.582726937461537,1.2024557439620072,9.962998130961067,0.012487790785993491,mean_difference
rematched_year_gap_le_1,1,0.2,390,780,0.0929339445366551,206,75,92,interaction_large_lesion,5.587193429125033,0.14568935273404282,11.028697505516025,0.0441736252181321,interaction_difference
rematched_year_gap_le_2,2,0.2,391,782,0.09279768379871821,206,75,91,overall,3.0433538920371928,0.43605081147647606,5.6506569725979094,0.02215194112703028,mean_difference
rematched_year_gap_le_2,2,0.2,391,782,0.09279768379871821,206,75,91,small_lesion_<50mm,0.07651652974896117,-2.7777427619240296,2.9307758214219524,0.9580957398197896,mean_difference
rematched_year_gap_le_2,2,0.2,391,782,0.09279768379871821,206,75,91,large_lesion_>=50mm,5.91053626105179,1.563772327857408,10.257300194246174,0.007696066662517653,mean_difference
rematched_year_gap_le_2,2,0.2,391,782,0.09279768379871821,206,75,91,interaction_large_lesion,5.8340197313028295,0.6182151030942418,11.049824359511417,0.028359787684159067,interaction_difference
rematched_year_gap_le_3,3,0.2,391,782,0.09279768379871821,206,75,91,overall,3.0001606764231603,0.34372839378510633,5.656592959061214,0.026858163873752682,mean_difference
rematched_year_gap_le_3,3,0.2,391,782,0.09279768379871821,206,75,91,small_lesion_<50mm,0.06302768398362235,-2.8550756888515725,2.9811310568188167,0.9662326402515178,mean_difference
rematched_year_gap_le_3,3,0.2,391,782,0.09279768379871821,206,75,91,large_lesion_>=50mm,5.820371173093478,1.4185015981107156,10.22224074807624,0.009552810461230798,mean_difference
rematched_year_gap_le_3,3,0.2,391,782,0.09279768379871821,206,75,91,interaction_large_lesion,5.757343489109855,0.4723080092713836,11.042378968948327,0.03275119496871943,interaction_difference
no_year_gap_restriction,,0.2,391,782,0.09279768379871821,206,75,91,overall,2.9986546485814127,0.3435461161323312,5.653763181030494,0.026858722548332183,mean_difference
no_year_gap_restriction,,0.2,391,782,0.09279768379871821,206,75,91,small_lesion_<50mm,0.011226340507341281,-2.9221031616787725,2.944555842693455,0.9940149274323213,mean_difference
no_year_gap_restriction,,0.2,391,782,0.09279768379871821,206,75,91,large_lesion_>=50mm,5.857441818824152,1.4475482982762262,10.267335339372078,0.009231217936852554,mean_difference
no_year_gap_restriction,,0.2,391,782,0.09279768379871821,206,75,91,interaction_large_lesion,5.846215478316811,0.5285756739122203,11.163855282721402,0.031178643481826238,interaction_difference
