method,outcome,major_diameter_mm,estimate,ci_lower,ci_upper
ps_nn_continuous_size_interaction,speed_mm2_min,25.0,-2.595903089323951,-6.10099648507016,0.9091903064222584
ps_nn_continuous_size_interaction,speed_mm2_min,28.125,-2.054041138808339,-5.821260984761675,1.7131787071449978
ps_nn_continuous_size_interaction,speed_mm2_min,31.25,-1.3160048496752852,-5.16805770728357,2.5360480079329992
ps_nn_continuous_size_interaction,speed_mm2_min,34.375,-0.4376469771724967,-4.10723184557086,3.2319378912258663
ps_nn_continuous_size_interaction,speed_mm2_min,37.5,0.5251797234520912,-2.8293770623394097,3.879736509243592
ps_nn_continuous_size_interaction,speed_mm2_min,40.625,1.516622496950951,-1.6282755464906633,4.661520540392566
ps_nn_continuous_size_interaction,speed_mm2_min,43.75,2.480828588076375,-0.7735464625712667,5.735203638724016
ps_nn_continuous_size_interaction,speed_mm2_min,46.875,3.361945241580599,-0.3173445028229973,7.041234985984195
ps_nn_continuous_size_interaction,speed_mm2_min,50.0,4.104119702215758,-0.11054914280359007,8.318788547235107
ps_nn_continuous_size_interaction,speed_mm2_min,53.125,4.664396195395953,0.009545328244479734,9.319247062547426
ps_nn_continuous_size_interaction,speed_mm2_min,56.25,5.051406869181854,0.1099110629074147,9.992902675456293
ps_nn_continuous_size_interaction,speed_mm2_min,59.375,5.286680852296093,0.19073644846677684,10.382625256125408
ps_nn_continuous_size_interaction,speed_mm2_min,62.5,5.391747273461323,0.21974269953035197,10.563751847392295
ps_nn_continuous_size_interaction,speed_mm2_min,65.625,5.388135261399961,0.1446599182838142,10.631610604516109
ps_nn_continuous_size_interaction,speed_mm2_min,68.75,5.29737394483475,-0.09538430817910282,10.690132197848603
ps_nn_continuous_size_interaction,speed_mm2_min,71.875,5.140992452488211,-0.5518562332441856,10.833841138220608
ps_nn_continuous_size_interaction,speed_mm2_min,75.0,4.940519913082648,-1.2462159259106294,11.127255752075925
ps_nn_continuous_size_interaction,speed_mm2_min,78.125,4.717485455341526,-2.160321056709045,11.595291967392097
ps_nn_continuous_size_interaction,speed_mm2_min,81.25,4.493418207986071,-3.2441361530476094,12.230972569019752
ps_nn_continuous_size_interaction,speed_mm2_min,84.375,4.289847299739974,-4.4314328097276965,13.011127409207646
ps_nn_continuous_size_interaction,speed_mm2_min,87.5,4.128301859324926,-5.6522326134502325,13.908836332100085
ps_nn_continuous_size_interaction,speed_mm2_min,90.625,4.030311015464244,-6.839001910863978,14.899623941792466
ps_nn_continuous_size_interaction,speed_mm2_min,93.75,4.017403896880049,-7.928698687283889,15.963506481043988
ps_nn_continuous_size_interaction,speed_mm2_min,96.875,4.111109632294939,-8.863082055712919,17.085301320302797
ps_nn_continuous_size_interaction,speed_mm2_min,100.0,4.332957350431777,-9.58864124737854,18.254555948242093
